initial	final	price	month	year	block	apartment
1816	1827	82.94	7	2023	D	22
2039	2055	139.14	7	2023	D	23
3805	3842	660.10	7	2023	D	24
1937	1950	105.42	7	2023	D	31
2924	2952	408.10	7	2023	D	32
2280	2295	127.90	7	2023	D	33
2713	2724	82.94	7	2023	D	34
1433	1442	71.70	7	2023	D	41
3649	3668	172.86	7	2023	D	42
4961	4994	548.10	7	2023	D	43
1086	1094	71.70	7	2023	D	44
2479	2494	127.90	7	2023	D	51
2095	2116	212.10	7	2023	D	52
3386	3403	150.38	7	2023	D	53
3348	3375	380.10	7	2023	D	54
2763	2783	184.10	7	2023	D	61
2156	2173	150.38	7	2023	D	62
2476	2491	127.90	7	2023	D	63
1905	1931	352.10	7	2023	D	64
1646	1666	184.10	7	2023	D	71
1943	1957	116.66	7	2023	D	72
1216	1235	172.86	7	2023	D	73
2453	2473	184.10	7	2023	D	74
1383	1396	105.42	7	2023	D	81
4382	4414	520.10	7	2023	D	82
1978	1996	161.62	7	2023	D	83
3444	3471	380.10	7	2023	D	84
1985	1985	71.70	7	2023	D	91
3986	4009	268.10	7	2023	D	92
2176	2191	127.90	7	2023	D	93
1652	1673	212.10	7	2023	D	94
2125	2143	161.62	7	2023	D	101
2077	2087	71.70	7	2023	D	102
7211	7240	436.10	7	2023	D	103
2829	2846	150.38	7	2023	D	104
1626	1642	139.14	7	2023	D	111
2781	2807	352.10	7	2023	D	112
3163	3188	324.10	7	2023	D	113
1986	2038	1085.82	7	2023	D	114
2589	2601	94.18	7	2023	D	121
2194	2232	688.10	7	2023	D	122
1767	1792	324.10	7	2023	D	123
2759	2765	71.70	7	2023	D	124
3893	3923	464.10	7	2023	D	131
873	880	71.70	7	2023	D	132
2316	2316	71.70	7	2023	D	133
1690	1707	150.38	7	2023	D	134
2171	2187	139.14	7	2023	D	141
3325	3347	240.10	7	2023	D	142
2132	2151	172.86	7	2023	D	143
1950	1973	268.10	7	2023	D	144
2646	2670	296.10	7	2023	D	151
1946	1975	436.10	7	2023	D	152
1397	1412	127.90	7	2023	D	153
1838	1856	161.62	7	2023	D	154
1734	1756	240.10	7	2023	D	161
3671	3695	296.10	7	2023	D	162
2179	2194	127.90	7	2023	D	163
1915	1919	71.70	7	2023	D	164
1589	1600	82.94	7	2023	D	171
2637	2655	161.62	7	2023	D	172
1768	1768	71.70	7	2023	D	173
888	895	71.70	7	2023	D	174
2183	2203	184.10	7	2023	D	181
1810	1827	150.38	7	2023	D	182
2826	2842	139.14	7	2023	D	183
3839	3853	116.66	7	2023	D	184
4215	4236	212.10	7	2023	D	191
3614	3641	380.10	7	2023	D	192
3079	3104	324.10	7	2023	D	193
1288	1302	116.66	7	2023	D	194
2769	2783	116.66	7	2023	D	201
1513	1531	161.62	7	2023	D	202
1980	1996	139.14	7	2023	D	203
5117	5165	968.10	7	2023	D	204
3301	3337	632.10	7	2023	E	11
2406	2420	116.66	7	2023	E	12
1690	1700	71.70	7	2023	E	13
3220	3242	240.10	7	2023	E	14
2716	2731	127.90	7	2023	E	21
2704	2715	82.94	7	2023	E	22
4101	4134	548.10	7	2023	E	23
2122	2145	268.10	7	2023	E	24
2326	2349	268.10	7	2023	E	31
2747	2759	94.18	7	2023	E	32
2868	2895	380.10	7	2023	E	33
4448	4471	268.10	7	2023	E	34
2911	2927	139.14	7	2023	E	41
2706	2722	139.14	7	2023	E	42
3174	3189	127.90	7	2023	E	43
2271	2282	82.94	7	2023	E	44
4061	4085	296.10	7	2023	E	51
2343	2362	172.86	7	2023	E	52
2411	2428	150.38	7	2023	E	53
2487	2507	184.10	7	2023	E	54
3002	3021	172.86	7	2023	E	61
3337	3351	116.66	7	2023	E	62
328	344	139.14	7	2023	E	63
2106	2127	212.10	7	2023	E	64
1207	1213	71.70	7	2023	E	71
2605	2622	150.38	7	2023	E	72
2856	2874	161.62	7	2023	E	73
2747	2765	161.62	7	2023	E	74
2865	2880	127.90	7	2023	E	81
3821	3843	240.10	7	2023	E	82
2565	2578	105.42	7	2023	E	83
2595	2609	116.66	7	2023	E	84
2736	2747	82.94	7	2023	E	91
2068	2097	436.10	7	2023	E	92
2595	2613	161.62	7	2023	E	93
2903	2931	408.10	7	2023	E	94
3010	3041	492.10	7	2023	E	101
72	90	161.62	7	2023	E	102
138	165	380.10	7	2023	E	103
1842	1851	71.70	7	2023	E	104
2583	2602	172.86	7	2023	E	111
2993	3007	116.66	7	2023	E	112
2869	2899	464.10	7	2023	E	113
2494	2507	105.42	7	2023	E	114
2577	2598	212.10	7	2023	E	121
24	61	660.10	7	2023	E	122
4944	4979	604.10	7	2023	E	123
3799	3799	71.70	7	2023	E	124
2112	2131	172.86	7	2023	E	131
1244	1257	105.42	7	2023	E	132
3762	3791	436.10	7	2023	E	133
2593	2609	139.14	7	2023	E	134
1306	1310	71.70	7	2023	E	141
2867	2891	296.10	7	2023	E	142
2647	2660	105.42	7	2023	E	143
1753	1773	184.10	7	2023	E	144
2144	2173	436.10	7	2023	E	151
1988	2006	161.62	7	2023	E	152
1417	1423	71.70	7	2023	E	153
4932	4953	212.10	7	2023	E	154
2729	2754	324.10	7	2023	E	161
3400	3413	105.42	7	2023	E	162
3427	3451	296.10	7	2023	E	163
2604	2621	150.38	7	2023	E	164
983	995	94.18	7	2023	E	171
59	72	105.42	7	2023	E	172
2995	3015	184.10	7	2023	E	173
2121	2133	94.18	7	2023	E	174
2835	2856	212.10	7	2023	E	181
1347	1347	71.70	7	2023	E	182
3662	3685	268.10	7	2023	E	183
2561	2561	71.70	7	2023	E	184
2839	2860	212.10	7	2023	E	191
3018	3038	184.10	7	2023	E	192
1740	1768	408.10	7	2023	E	193
1668	1684	139.14	7	2023	E	194
3654	3694	744.10	7	2023	E	201
1864	1881	150.38	7	2023	E	202
2930	2941	82.94	7	2023	E	203
3798	3827	436.10	7	2023	E	204
1995	2003	71.70	7	2023	F	11
2852	2877	324.10	7	2023	F	12
1764	1770	71.70	7	2023	F	21
4201	4230	436.10	7	2023	F	22
2489	2511	240.10	7	2023	F	31
4184	4220	632.10	7	2023	F	32
133	133	71.70	7	2023	F	41
3179	3205	352.10	7	2023	F	42
4002	4029	380.10	7	2023	F	51
2941	2960	172.86	7	2023	F	52
2416	2429	105.42	7	2023	F	61
1689	1706	150.38	7	2023	F	62
1924	1939	127.90	7	2023	F	71
2326	2344	161.62	7	2023	F	72
2233	2255	240.10	7	2023	F	81
3351	3382	492.10	7	2023	F	82
3539	3568	436.10	7	2023	F	91
1767	1781	116.66	7	2023	F	92
4743	4786	828.10	7	2023	F	101
2470	2484	116.66	7	2023	F	102
1938	1954	139.14	7	2023	F	111
1023	1075	1085.82	7	2023	F	112
3180	3201	212.10	7	2023	F	121
577	607	464.10	7	2023	F	122
2083	2101	161.62	7	2023	F	131
3656	3679	268.10	7	2023	F	132
1913	1927	116.66	7	2023	F	141
2462	2506	856.10	7	2023	F	142
4324	4360	632.10	7	2023	F	151
2670	2692	240.10	7	2023	F	152
2416	2448	520.10	7	2023	F	161
1674	1696	240.10	7	2023	F	162
2243	2250	71.70	7	2023	F	171
1691	1711	184.10	7	2023	F	172
4733	4764	492.10	7	2023	F	181
2058	2074	139.14	7	2023	F	182
3412	3450	688.10	7	2023	F	191
3193	3218	324.10	7	2023	F	192
2764	2785	212.10	7	2023	F	201
2210	2242	520.10	7	2023	F	202
2498	2517	172.86	7	2023	F	211
2432	2444	94.18	7	2023	F	212
1229	1238	71.70	7	2023	F	221
2073	2096	268.10	7	2023	F	222
2574	2598	296.10	7	2023	G	11
2335	2360	324.10	7	2023	G	12
3564	3609	884.10	7	2023	G	21
1853	1886	548.10	7	2023	G	22
2490	2508	161.62	7	2023	G	31
3413	3433	184.10	7	2023	G	32
2963	2975	94.18	7	2023	G	41
2451	2466	127.90	7	2023	G	42
1263	1276	105.42	7	2023	G	51
2332	2352	184.10	7	2023	G	52
3178	3207	436.10	7	2023	G	61
3429	3452	268.10	7	2023	G	62
3832	3859	380.10	7	2023	G	71
2573	2587	116.66	7	2023	G	72
2541	2566	324.10	7	2023	G	81
1525	1544	172.86	7	2023	G	82
3545	3564	172.86	7	2023	G	91
4138	4159	212.10	7	2023	G	92
3353	3387	576.10	7	2023	G	101
3481	3499	161.62	7	2023	G	102
4855	4897	800.10	7	2023	G	111
3123	3148	324.10	7	2023	G	112
2257	2275	161.62	7	2023	G	121
3969	4004	604.10	7	2023	G	122
2828	2848	184.10	7	2023	G	131
2223	2240	150.38	7	2023	G	132
1602	1611	71.70	7	2023	G	141
2637	2658	212.10	7	2023	G	142
3087	3112	324.10	7	2023	G	151
3849	3873	296.10	7	2023	G	152
4162	4194	520.10	7	2023	G	161
3135	3157	240.10	7	2023	G	162
4365	4381	139.14	7	2023	G	171
3091	3107	139.14	7	2023	G	172
2238	2256	161.62	7	2023	G	181
2741	2760	172.86	7	2023	G	182
2423	2445	240.10	7	2023	G	191
2066	2073	71.70	7	2023	G	192
2728	2746	161.62	7	2023	G	201
2576	2586	71.70	7	2023	G	202
2142	2163	212.10	7	2023	G	211
2682	2703	212.10	7	2023	G	212
1992	2028	632.10	7	2023	G	221
1082	1097	380.10	7	2023	G	222
