Entrevistado;Sexo;Idade;Renda_familiar;Região;Amigos;Esportes;Balada;Teatro;Cinema;Shows;Filmes_Casa;Gasto_Lazer
69;Feminino;19;De 31 a 45 salários mínimos;Região Sul;1;0;1;0;1;0;1;500
70;Feminino;21;Acima de 45 salários mínimos;Centro;1;0;0;0;0;0;1;2000
71;Feminino;19;De 1 a 15 salários mínimos;Região Oeste;1;0;0;0;1;1;1;100
72;Feminino;20;De 1 a 15 salários mínimos;Região Oeste;1;0;1;0;1;0;1;150
73;Masculino;19;De 16 a 30 salários mínimos;Região Leste;1;0;0;0;0;0;0;300
74;Masculino;19;Acima de 45 salários mínimos;Região Norte;1;0;0;0;0;0;0;300
75;Feminino;20;De 31 a 45 salários mínimos;Região Sul;1;1;1;0;1;1;1;500
76;Feminino;31;Acima de 45 salários mínimos;Outra localidade;1;0;0;1;1;0;1;1000
77;Feminino;19;De 31 a 45 salários mínimos;Região Leste;1;1;1;1;1;0;1;1000
78;Masculino;30;De 16 a 30 salários mínimos;Outra localidade;1;1;0;0;0;0;1;1500
79;Masculino;19;Acima de 45 salários mínimos;Região Leste;1;1;1;0;0;0;1;1000
80;Masculino;19;De 1 a 15 salários mínimos;Região Sul;0;0;1;0;1;0;1;450
